診療科名,予約担当者匿名ID,区分,曜日,bin_idx,bin_label,出勤日数,該当日数,出勤頻度率,件数合計,実診察分数,件数_日平均,実診察分数_日平均
メンタルケア科,DR_MN002,薬再診,2,6,11:00,1,4,0.25,1,2,0.25,0.5
メンタルケア科,DR_MN002,薬再診,2,17,16:30,1,4,0.25,1,4,0.25,1.0
メンタルケア科,DR_MN004,全体,0,1,08:30,3,5,0.6,3,6,0.6,1.2
メンタルケア科,DR_MN004,全体,0,2,09:00,5,5,1.0,16,126,3.2,25.2
メンタルケア科,DR_MN004,全体,0,3,09:30,5,5,1.0,19,143,3.8,28.6
メンタルケア科,DR_MN004,全体,0,4,10:00,5,5,1.0,12,109,2.4,21.8
メンタルケア科,DR_MN004,全体,0,5,10:30,5,5,1.0,11,129,2.2,25.8
メンタルケア科,DR_MN004,全体,0,6,11:00,5,5,1.0,13,101,2.6,20.2
メンタルケア科,DR_MN004,全体,0,7,11:30,4,5,0.8,11,71,2.2,14.2
メンタルケア科,DR_MN004,全体,0,8,12:00,3,5,0.6,5,65,1.0,13.0
メンタルケア科,DR_MN004,全体,0,9,12:30,2,5,0.4,5,56,1.0,11.2
メンタルケア科,DR_MN004,全体,0,10,13:00,2,5,0.4,2,39,0.4,7.8
メンタルケア科,DR_MN004,全体,0,11,13:30,1,5,0.2,1,6,0.2,1.2
メンタルケア科,DR_MN004,全体,0,12,14:00,1,5,0.2,1,6,0.2,1.2
メンタルケア科,DR_MN004,全体,3,3,09:30,2,4,0.5,2,37,0.5,9.2
メンタルケア科,DR_MN004,全体,3,4,10:00,3,4,0.75,3,47,0.75,11.8
メンタルケア科,DR_MN004,全体,3,5,10:30,2,4,0.5,2,51,0.5,12.8
メンタルケア科,DR_MN004,全体,3,7,11:30,2,4,0.5,2,16,0.5,4.0
メンタルケア科,DR_MN004,全体,3,8,12:00,2,4,0.5,2,40,0.5,10.0
メンタルケア科,DR_MN004,再診,0,1,08:30,3,5,0.6,3,6,0.6,1.2
メンタルケア科,DR_MN004,再診,0,2,09:00,5,5,1.0,16,126,3.2,25.2
メンタルケア科,DR_MN004,再診,0,3,09:30,5,5,1.0,19,143,3.8,28.6
メンタルケア科,DR_MN004,再診,0,4,10:00,5,5,1.0,12,109,2.4,21.8
メンタルケア科,DR_MN004,再診,0,5,10:30,5,5,1.0,11,129,2.2,25.8
メンタルケア科,DR_MN004,再診,0,6,11:00,5,5,1.0,13,101,2.6,20.2
メンタルケア科,DR_MN004,再診,0,7,11:30,4,5,0.8,11,71,2.2,14.2
メンタルケア科,DR_MN004,再診,0,8,12:00,3,5,0.6,5,65,1.0,13.0
メンタルケア科,DR_MN004,再診,0,9,12:30,2,5,0.4,5,56,1.0,11.2
メンタルケア科,DR_MN004,再診,0,10,13:00,2,5,0.4,2,39,0.4,7.8
メンタルケア科,DR_MN004,再診,0,11,13:30,1,5,0.2,1,6,0.2,1.2
