部屋番号,曜日,受付_30min,診療科名,初再診区分,件数
,0,12:30,泌尿器科,再診,25
,0,12:30,消化器内科,再診,12
,0,12:30,消化器内科,初診,2
,0,12:30,産婦人科,再診,18
,0,12:30,皮膚科,再診,4
,0,12:30,眼科,再診,22
,0,12:30,総合内科,再診,5
,0,12:30,耳鼻咽喉科,再診,3
,0,12:30,脳神経内科,再診,2
,0,12:30,腎内科,再診,6
,0,12:30,臨床工学技師,再診,4
,0,12:30,臨床腫瘍科,再診,2
,0,12:30,血液内科,再診,2
,0,12:30,骨転移カンファレンス,再診,2
,0,12:30,麻酔科,再診,3
,0,13:00,リウマチ膠原病内科,再診,2
,0,13:00,一般消化器外科,再診,8
,0,13:00,一般消化器外科,初診,2
,0,13:00,中央処置室,再診,2
,0,13:00,乳腺外科,再診,1
,0,13:00,入退院支援センター,再診,9
,0,13:00,呼吸器内科,再診,12
,0,13:00,外来手術室,再診,5
,0,13:00,小児科,再診,1
,0,13:00,形成外科,再診,1
,0,13:00,循環器内科,再診,12
,0,13:00,放射線治療科,再診,8
,0,13:00,救急科,再診,1
,0,13:00,救急科,初診,3
,0,13:00,整形外科,再診,3
,0,13:00,整形外科,初診,1
,0,13:00,歯科口腔外科,再診,5
,0,13:00,泌尿器科,再診,17
,0,13:00,消化器内科,再診,13
,0,13:00,産婦人科,再診,22
,0,13:00,皮膚科,再診,3
,0,13:00,看護部,再診,1
,0,13:00,眼科,再診,32
,0,13:00,眼科,初診,1
,0,13:00,総合内科,再診,6
,0,13:00,総合内科,初診,1
,0,13:00,耳鼻咽喉科,再診,1
,0,13:00,脳神経内科,再診,3
,0,13:00,腎内科,再診,6
,0,13:00,臨床工学技師,再診,2
,0,13:00,血液内科,再診,4
,0,13:00,通院治療センター,再診,2
,0,13:00,麻酔科,再診,4
,0,13:30,PICCCVポートセンター,再診,1
,0,13:30,がんゲノム,再診,1
,0,13:30,リウマチ膠原病内科,再診,1
,0,13:30,一般消化器外科,再診,4
,0,13:30,一般消化器外科,初診,2
,0,13:30,中央処置室,再診,1
,0,13:30,乳腺外科,再診,2
,0,13:30,入退院支援センター,再診,4
,0,13:30,呼吸器内科,再診,8
,0,13:30,外来手術室,再診,3
,0,13:30,小児科,再診,8
,0,13:30,小児科,初診,2
,0,13:30,形成外科,再診,4
,0,13:30,循環器内科,再診,5
,0,13:30,放射線治療科,再診,11
,0,13:30,救急科,再診,1
,0,13:30,整形外科,再診,6
,0,13:30,歯科口腔外科,再診,9
,0,13:30,泌尿器科,再診,14
,0,13:30,泌尿器科,初診,1
,0,13:30,消化器内科,再診,19
,0,13:30,産婦人科,再診,17
,0,13:30,皮膚科,再診,1
,0,13:30,看護部,再診,1
,0,13:30,眼科,再診,22
,0,13:30,総合内科,再診,5
,0,13:30,耳鼻咽喉科,再診,4
,0,13:30,脳神経内科,再診,2
,0,13:30,臨床腫瘍科,再診,1
,0,13:30,血液内科,再診,1
,0,13:30,通院治療センター,再診,2
,0,13:30,麻酔科,再診,3
,0,14:00,リウマチ膠原病内科,再診,1
,0,14:00,一般消化器外科,再診,6
,0,14:00,一般消化器外科,初診,2
,0,14:00,乳腺外科,再診,7
,0,14:00,入退院支援センター,再診,2
,0,14:00,呼吸器内科,再診,7
,0,14:00,呼吸器内科,初診,1
,0,14:00,呼吸器外科,再診,1
,0,14:00,外来手術室,再診,3
,0,14:00,小児科,再診,4
,0,14:00,小児科,初診,2
,0,14:00,形成外科,再診,4
,0,14:00,循環器内科,再診,8
,0,14:00,放射線治療科,再診,5
,0,14:00,救急科,初診,1
,0,14:00,整形外科,再診,9
,0,14:00,歯科口腔外科,再診,5
,0,14:00,泌尿器科,再診,17
,0,14:00,消化器内科,再診,12
,0,14:00,産婦人科,再診,8
,0,14:00,皮膚科,再診,2
,0,14:00,眼科,再診,20
,0,14:00,総合内科,再診,3
,0,14:00,耳鼻咽喉科,再診,6
,0,14:00,腎内科,再診,1
,0,14:00,血液内科,再診,1
,0,14:00,麻酔科,再診,1
,0,14:30,ソーシャルワーカー,再診,3
,0,14:30,リウマチ膠原病内科,再診,2
,0,14:30,一般消化器外科,再診,7
,0,14:30,中央処置室,再診,1
,0,14:30,乳腺外科,再診,3
,0,14:30,入退院支援センター,再診,3
,0,14:30,呼吸器内科,再診,2
,0,14:30,外来手術室,再診,1
,0,14:30,小児科,再診,3
,0,14:30,小児科,初診,1
,0,14:30,形成外科,再診,2
,0,14:30,循環器内科,再診,6
,0,14:30,放射線治療科,再診,6
,0,14:30,救急科,初診,1
,0,14:30,整形外科,再診,4
,0,14:30,歯科口腔外科,再診,3
,0,14:30,泌尿器科,再診,5
,0,14:30,泌尿器科,初診,1
,0,14:30,消化器内科,再診,4
,0,14:30,産婦人科,再診,6
,0,14:30,皮膚科,再診,1
,0,14:30,看護部,再診,1
,0,14:30,眼科,再診,16
,0,14:30,総合内科,再診,1
,0,14:30,耳鼻咽喉科,再診,4
,0,15:00,一般消化器外科,再診,5
,0,15:00,乳腺外科,再診,3
,0,15:00,外来手術室,再診,2
,0,15:00,小児科,再診,5
,0,15:00,小児科,初診,2
,0,15:00,形成外科,再診,1
,0,15:00,循環器内科,再診,4
,0,15:00,感染症,再診,1
,0,15:00,放射線治療科,再診,4
